Postal Code,Latitude,Longitude
10101,18.44938,-69.926
10102,18.4552,-69.92749
10103,18.46051,-69.91781
10104,18.46982,-69.96397
10105,18.46114,-69.91707
10106,18.4781,-69.93069
10107,18.48061,-69.98381
10108,18.48061,-69.98381
10109,18.46149,-69.92675
10110,18.45683,-69.93451
10111,18.45588,-69.94015
10112,18.45588,-69.94015
10113,18.45182,-69.94833
10114,18.44921,-69.96322
10115,18.4781,-69.93069
10116,18.4781,-69.93069
10117,18.45082,-69.9327
10118,18.4781,-69.93069
10119,18.47658,-69.92228
10120,18.46811,-69.92898
10121,18.47595,-69.92302
10122,18.47658,-69.92228
10123,18.47658,-69.92228
10124,18.47658,-69.92228
10125,18.4781,-69.93069
10126,18.48012,-69.94163
10127,18.46814,-69.93568
10128,18.48031,-69.94982
10129,18.4759,-69.94833
10130,18.46914,-69.95131
10131,18.47326,-69.95652
10132,18.47326,-69.95652
10133,18.46963,-69.95578
10134,18.46982,-69.96397
10135,18.46541,-69.96248
10136,18.45961,-69.96769
10137,18.45724,-69.96546
10138,18.4522,-69.96471
10139,18.45784,-69.95801
10140,18.45784,-69.95801
10141,18.45784,-69.95801
10142,18.45784,-69.95801
10143,18.49276,-69.95355
10144,18.45784,-69.95801
10145,18.46127,-69.95057
10146,18.46127,-69.95057
10147,18.46313,-69.94163
10148,18.46814,-69.93568
10149,18.45659,-69.9595
10150,18.46814,-69.93568
10201,18.47755,-69.90125
10202,18.47755,-69.90125
10203,18.47935,-69.90888
10204,18.46126,-69.955
10205,18.46895,-69.90441
10206,18.46487,-69.9059
10207,18.46704,-69.89994
10208,18.46702,-69.89324
10209,18.47001,-69.89473
10210,18.47265,-69.88654
10211,18.47408,-69.88989
10212,18.47596,-69.88766
10213,18.4781,-69.93069
10214,18.48115,-69.88869
10215,18.48115,-69.88869
10216,18.47772,-69.89399
10217,18.47772,-69.89399
10218,18.4705,-69.8992
10301,18.49155,-69.89101
10302,18.49679,-69.88394
10303,18.4781,-69.93069
10304,18.50156,-69.8791
10305,18.49656,-69.88505
10306,18.49155,-69.89101
10307,18.48906,-69.89734
10308,18.48687,-69.89994
10309,18.48687,-69.89994
10401,18.5007,-69.89697
10402,18.4781,-69.93069
10403,18.51025,-69.88729
10404,18.4781,-69.93069
10405,18.5092,-69.89697
10406,18.5007,-69.89697
10407,18.50498,-69.90367
10408,18.50721,-69.91111
10409,18.49793,-69.91037
10410,18.49793,-69.91037
10411,18.4781,-69.93069
10412,18.4866,-69.91037
10413,18.4866,-69.91037
10501,18.4781,-69.93069
10502,18.4781,-69.93069
10503,18.4781,-69.93069
10504,18.4781,-69.93069
10505,18.53192,-69.96784
10506,18.4781,-69.93069
10507,18.4781,-69.93069
10508,18.49617,-69.94626
10509,18.49548,-69.92675
10510,18.49619,-69.9461
10511,18.48791,-69.92228
10512,18.48791,-69.92228
10513,18.4781,-69.93069
10514,18.4781,-69.93069
10515,18.4781,-69.93069
10516,18.4781,-69.93069
10601,18.4781,-69.93069
10602,18.48551,-69.95206
10603,18.49793,-69.91037
10604,18.48905,-69.97141
10605,18.50038,-69.97141
10606,18.4781,-69.93069
10607,18.50232,-69.98258
10608,18.4826,-69.97067
10701,18.47182,-69.94817
10702,18.50053,-69.92916
10801,18.47182,-69.94817
10802,18.47182,-69.94817
10803,18.47182,-69.94817
10804,18.47182,-69.94817
10805,18.47182,-69.94817
10901,18.55,-69.85
10902,18.49008,-69.99374
10903,18.47182,-69.94817
10904,18.45574,-69.98407
10905,18.46232,-69.9611
11001,18.44471,-69.98034
11002,18.47028,-69.98473
11003,18.47292,-69.97974
11004,18.52474,-69.91086
11005,18.47182,-69.94817
11101,18.47182,-69.94817
11102,18.43303,-69.97067
11103,18.47182,-69.94817
11104,18.43879,-69.95541
11105,18.43625,-69.94833
11106,18.43412,-69.96769
11107,18.43133,-69.98109
11108,18.4409,-69.97141
11109,18.44744,-69.95355
11110,18.45139,-69.95727
11111,18.44624,-69.96843
11112,18.44624,-69.96843
11113,18.44471,-69.98034
11114,18.47182,-69.94817
11115,18.47182,-69.94817
11116,18.42871,-69.99598
11117,18.45005,-69.93489
11201,18.49474,-70.00189
11202,18.89314,-68.46818
11203,18.55379,-69.8616
11204,18.89314,-68.46818
11205,18.89314,-68.46818
11206,18.89314,-68.46818
11207,18.89314,-68.46818
11301,18.47136,-69.95498
11302,18.485,-69.96358
11401,18.55145,-69.85006
11402,18.89314,-68.46818
11403,18.54569,-69.86197
11404,18.52685,-69.87091
11405,18.43739,-69.95876
11501,18.49333,-69.86867
11502,18.49038,-69.87724
11503,19.03328,-69.26474
11504,19.03328,-69.26474
11505,19.03328,-69.26474
11506,18.48633,-69.85006
11507,19.03328,-69.26474
11508,18.48669,-69.82773
11509,19.03328,-69.26474
11510,18.4582,-69.9789
11511,19.03328,-69.26474
11512,18.48389,-69.88964
11513,19.03328,-69.26474
11514,19.03328,-69.26474
11515,18.53459,-69.87686
11516,18.48389,-69.88964
11517,18.52585,-69.84173
11518,18.4974,-69.99732
11519,19.03328,-69.26474
11601,18.48395,-69.87984
11602,18.47889,-69.87575
11603,18.47529,-69.87835
11604,18.48161,-69.8683
11605,18.47965,-69.83443
11606,18.4826,-69.86123
11704,18.47254,-69.82773
11705,18.46958,-69.81693
11706,18.46911,-69.80315
11707,18.47853,-69.79869
11708,18.47523,-69.86495
11801,19.03328,-69.26474
11802,18.50007,-69.92656
11803,18.53357,-69.863
11804,19.03328,-69.26474
11805,19.03328,-69.26474
11806,19.03328,-69.26474
11807,18.48389,-69.88964
11808,19.03328,-69.26474
11809,19.03328,-69.26474
11901,19.03328,-69.26474
11902,19.03328,-69.26474
11903,19.03328,-69.26474
11904,19.03328,-69.26474
11905,19.03328,-69.26474
11906,18.50137,-69.87091
